nome;tipologia;tel;email;web;link1;link2;tipoticket;datamodifica;abstract;descrizione;comune;codice_istat;provincia;datainizio;datafine;foto_con_autore
Sc&#233 nes de la via de Boh&#232 me;semplice;368.56.84.12 e 393.993.52.66 ; ;http://www.associazionepadovano.it; ; ;pagamento;17-feb-16;L&#8217 intramontabile &#34 Boh&#233 me&#34  di Puccini nella rivisitazione del progetto Opera Studio realizzato dal dipartimento di Canto e Teatro Musicale del Conservatorio &#171 Nino Rota&#187  di Monopoli;Da oltre cent&#8217 anni la chiamano Mim&#236  la protagonista dell&#8217 intramontabile &#34 Boh&#233 me&#34   il capolavoro di Puccini che viene presentato nella rivisitazione del progetto Opera Studio realizzato dal dipartimento di Canto e Teatro Musicale del Conservatorio &#171 Nino Rota&#187  di Monopoli. &#34 Sc&#233 nes de la vie de Boh&#232 me&#34  s&#8217 intitola lo spettacolo diretto alla regia da Giovanni Guarino con protagonisti Ilaria Cal&#242  (Mim&#236 )  Rosanna Di Carolo (Musetta)  Xiao Han (Rodolfo)  Carlo Sgura (Schaunard)  Vincenzo Santoro (Colline) e Maurizio Pellegrini (narratore) che con la pianista Raffaella Migailo faranno rivivere i momenti pi&#249  belli di uno dei melodrammi pi&#249  amati di sempre.&#13 &#10 Dunque  la musica d&#224  ancora spettacolo con il teatro champagne dell&#8217 Ag&#236 mus (Associazione Giovanni Padovano Iniziative Musicali) che propone l'ultima delle tre affascinanti proposte di teatro musicale per la programmazione dell&#8217 inverno 2016  segmento inserito nelle Stagioni della ventiduesima edizione.&#13 &#10 La rassegna  diretta da Piero Rotolo con il sostegno della Regione Puglia e del Comune di Mola di Bari e il contributo della Fondazione Cassa di Risparmio di Puglia  viene  infatti  suddivisa in quattro sezioni  secondo la reale scansione ciclica dei periodi dell&#8217 anno. E  dopo la felice esperienza del 2015  aderisce nuovamente alla rete Orfeo Futuro con un progetto artistico che propone tre modi diversi  originali e affascinanti di mettere in scena la musica colta e popolare.;Mola di Bari;72028;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11226
Il Mangianastri: DIANA SPENCER GRAVE EXPLOSION live;semplice;3398987178;info@piccolabottegapopolare.it;https://www.facebook.com/events/487439398113168/;https://www.facebook.com/Il-Mangianastri-456639124478979/?fref=ts; ;gratis;14-mar-16;Il prossimo nastro avr&#224  l'impeto e la veemenza dei DIANA SPENCER GRAVE EXPLOSION  band psych-post-stoner nata a Gioia del Colle nel 2012.&#13 &#10 &#13 &#10 ;Il prossimo nastro avr&#224  l'impeto e la veemenza dei DIANA SPENCER GRAVE EXPLOSION  band psych-post-stoner nata a Gioia del Colle nel 2012.&#13 &#10 Nell'estate del 2014 la band risulta finalista del contest &#34 Rock Abbash the clock&#34  di Acquaviva delle Fonti(BA)  apre per i &#8220 Vibravoid&#8221  (importante gruppo di riferimento della scena Rock-Psychedelic tedesca)  e si esibisce sul palco del &#8220 Gioia Rock Festival- Rockerella&#8221  prima della storica band new-wave toscana &#8220 Diaframma&#8221 . A settembre 2015 i DSGX si esibiscono al Desert Odyssey Fest  con Lili Refrain  Zippo e Karma to Burn.&#13 &#10 Il 19 marzo presenteranno al Mangianastri il loro EP &#34 0&#34   dove ambientazioni oniriche e psichedeliche lasciano il posto a esplosioni stoner  potenti e graffianti.;Alberobello;72003;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11626
CANTI DI PASSIONE E QUESTUA PASQUALE NEL SALENTO;semplice;3492561471 / 3295896245;info@damasalento.it;http://www.damasalento.it;https://www.facebook.com/DAMA-Danza-e-musica-popolare-salentina-981138385253151/; ;gratis;11-mar-16;Sabato 19 Marzo a Castello Carlo V di Lecce il progetto Dama - Danze e  musiche dal Salento presenta un approfondimento sul  ricchissimo repertorio pasquale salentino  con l'ascolto e la proiezione di materiali audiovisivi inediti e la messa in scena dal vivo dei canti a opera di alcuni dei &#34 portatori&#34  della tradizione ancora in attivit&#224 .;Dai Passiuna Tu Crist&#249  in lingua grica ai Lazzareni  Matinate e altri brani in dialetto romanzo  i canti di passione  resurrezione e questua pasquale venivano eseguiti per le strade dei piccoli paesi del Salento nel periodo quaresimale  rievocando con una particolarissima gestualit&#224  gli ultimi istanti di vita di Ges&#249  e il dolore della madre Maria. &#13 &#10 Con un'introduzione a cura di Vincenzo Santoro e Giovanni Amati  sabato 19 marzo il laboratorio permanente DAMA (Danze e musiche del Salento) presenter&#224  un approfondimento su questi ricchissimi repertori  con l'ascolto e la proiezione di materiali audiovisivi inediti e la messa in scena dal vivo dei canti a opera di alcuni dei &#34 portatori&#34  della tradizione ancora in attivit&#224 .&#13 &#10 Programma:&#13 &#10 - Sabato 19 marzo ore 16.00: Canti di passione e questua pasquale nel Salento. Seminario di ascolto e visione dei materiali inediti a cura di Vincenzo Santoro e Giovanni Amati&#13 &#10 - Sabato 19 marzo ore 18.00: I Passiuna tu Crist&#249  della Grec&#236 a Salentina Antimino Pellegrino e i cantori della Bottega del Teatro di Zollino.&#13 &#10 &#13 &#10 ;Lecce;75035;LE;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11599
SANTU LAZZARU 2016 - XVII edizione;semplice;377.6954833 &#8211  347.4077634;sudethnic@gmail.com; ; ; ;gratis;29-feb-16;Sabato 19 marzo dalle 19.30 in Largo Immacolata a Cutrofiano (Le) appuntamento con la ventisettesima edizione della rassegna di canti legati ai riti pasquali &#34 Santu Lazzaru&#34 . &#13 &#10 &#13 &#10 ;La tradizione di Santu Lazzaru a Cutrofiano &#232  sentita e si tramanda di generazione in generazione. &#60 &#60 Lu Santu Lazzaru &#232  un canto di questua quaresimale eseguito da gruppi di suonatori e cantatori in giro per le case e le masserie nella settimana che precede la domenica delle Palme. In alcuni paesi dell'arco jonico del Salento meridionale la tradizione &#232  ancora viva e sentita  e intere famiglie continuano ad attendere l'omaggio sonoro fino a notte inoltrata. I suonatori suonano e cantano dietro le porte chiuse  successivamente vengono fatti entrare in casa dove viene offerto da bere e da mangiare mentre i canti proseguono. Vengono offerte uova  formaggi e salumi raccolti nel paniere che i suonatori recano con se&#62 &#62  (da archiviosonoro.org). &#13 &#10 Durante la kermesse  curata da Antonio Melegari e Sandra Stefanizzi promossa con il contributo dell&#8217 amministrazione comunale e realizzata dall'Associazione Culturale Sud Ethnic  si esibiranno: Criamu  Arakne Mediterranea  Famiglia Cavalera  Alunni della Scuola Primaria di Cutrofiano  Cantori della Bottega del Teatro di Zollino  Antonio Castrignan&#242   Compagnia Melegari  Luigi Mengoli  Cardisanti.&#13 &#10 Durante la serata  inoltre  sar&#224  premiata la miglior Cuddhura &#8211 gigante- (tipico dolce di pasta frolla del periodo pasquale) offerta dai forni locali che hanno voluto partecipare. I Forni che partecipano al Premio Miglior Cuddhura sono: Panificio Chittano  Panificio San Luigi  Panificio Massafra  Panificio I Frutti del Grano e sar&#224  possibile ammirare la mostra fotografica a cura di Luigi Cesari dal titolo LA STORIA di SANTU LAZZARU.&#13 &#10  &#13 &#10 ;Cutrofiano;75026;LE;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11367
Passionchrist - Ritratto di una storia;semplice;3298722294;staff@wantedchorus.com;http://www.wantedchorus.com;https://www.facebook.com/events/899758610119536/;https://www.youtube.com/watch?v=w1aJhzhfO4o;pagamento;14-mar-16;Torna Passionchrist - Ritratto di una storia. La Passione di Cristo nelle Grotte di Castellana. Evento che dal 2012 riscuote un grande successo di pubblico. Un mix di canto e recitazione nella splendida cornice della Grave delle Grotte di Castellana!;Torna Passionchrist - Ritratto di una storia&#13 &#10 La Passione di Cristo nelle Grotte di Castellana.&#13 &#10 Prodotto da Wanted Chorus in partnership con Echo Events e con i patrocini di Regione Puglia - Assessorato all'Industria Turistica e Culturale - Gestione e valorizzazione di Beni Culturali  Citt&#224  Metropolitana di Bari  Comune di Castellana Grotte e Grotte di Castellana.&#13 &#10 Scritto e diretto da Vincenzo Schettini&#13 &#10 prodotto ed interpretato da Wanted Chorus&#13 &#10 aiuto regia e video editing Francesco Angiulli&#13 &#10 direzione tecnica Officina Musicale&#13 &#10 voce narrante Savino Zaba&#13 &#10 voce narrante femminile Sandra Sacchetti&#13 &#10 colonna sonora originale &#8220 Alien 3&#8221  di Elliot Goldenthal&#13 &#10 rielaborazioni musicali Francesco Galizia&#13 &#10 responsabile audio Giuseppe Mariani&#13 &#10 responsabile luci Giuseppe Dicarlo&#13 &#10 trucco e costumi &#8220 Basile percorsi d&#8217 arte&#8221  Margherita Calefati&#13 &#10 ufficio stampa e comunicazione An.Min - Antonello Minoia&#13 &#10 grafica  foto e video Mariagrazia Proietto&#13 &#10 con la collaborazione della Grotte di Castellana s.r.l.&#13 &#10 con la partecipazione di &#8220 Amnesty International&#8221 &#13 &#10 con il patrocinio di Comune di Castellana Grotte  Citt&#224  Metropolitana di Bari  Regione Puglia&#13 &#10 con la partnership associativa di &#8220 Echo Events&#8221 &#13 &#10 &#169  2016 tutti i diritti riservati - www.wantedchorus.com;Castellana Grotte;72017;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11228**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11229**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11512 (PassionchrisT nelle grotte di Castellana ph Mariagrazia Proietto ) 
Sud Sound System e Sentinel Sound al Palarock di Aradeo;semplice;3289677055;ufficiostampa@bazingaticket.com;http://www.bazingaticket.com/sud-sound-system-al-palarock-di-aradeo-le/;https://www.facebook.com/events/1735093136705301/; ;pagamento;01-mar-16;Sabato 19 marzo il Palarock di Aradeo si accende per una straordinaria Jamrock  la reggae night del celebre locale aradeino che per l'occasione ospiter&#224  i pionieri del raggamuffin italiano  oltre che simbolo della &#8220 salentinit&#224 &#8221  nel mondo: i Sud Sound System.;Don Rico  Terron Fabio e Nandu Popu hanno fatto breccia nel cuore del grande pubblico grazie alla loro capacit&#224  di fondere musicalit&#224  universali come il reggae in versione raggamuffin con le sonorit&#224  tipiche locali quali il dialetto salentino e le ballate di pizzica e taranta  il tutto mettendo in evidenza le tematiche di denuncia e disagio sociale. &#13 &#10 Il loro ultimo album  Sta Tornu  li ha confermati ambasciatori del ritmo in levare in Italia e nel mondo  rappresentanti delle inconfondibili sonorit&#224  mediterranee made in Salento. Un lavoro che rispecchia la gioia  la speranza  la convinzione e l&#8217 impegno sociale attraverso cui il gruppo si &#232  sempre espresso e contraddistinto in oltre vent&#8217 anni di carriera. &#13 &#10 Sul palco del Palarock  insieme ai Sud Sound System  ci sar&#224  un altro ospite di respiro internazionale: Sentinel Sound  la crew simbolo del reggae in Germania e in Europa.&#13 &#10 Vincitori del celebre WorldClash nel 2005  il pi&#249  prestigioso premio a livello mondiale che un sound reggae possa conquistare  i Sentinel sono attivi fin dal 1998 a Stoccarda. Dopo essersi affermati come il principale punto di riferimento della scena tedesca  la crew ritorna in Italia dopo aver suonato ovunque ed esser diventato un nome a livello mondiale.Forte di una collezione di dubplates con pochi eguali al mondo  Sentinel &#232  pronto a scrivere una pagina di storia del Palarock  portando nel club salentino quello stile originale e potente che caratterizza il suo sound system.;Aradeo;75006;LE;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11393
L&#8217 AMICO DEL CUORE;semplice;328.3149259 - 0836.553718;teatro@comune.aradeo.le.it;http://www.teatropubblicopugliese.it/teatro/teatro-domenico-modugno_56.html;http://www.teatropubblicopugliese.it;http://www.comune.aradeo.le.it ;pagamento;05-feb-16;Bib&#236  Produzioni&#13 &#10 Biagio Izzo&#13 &#10 Una commedia di Vincenzo Salemme&#13 &#10 con Francesco Procopio  Mario Porfito  Yuliya Mayarchuk  Samuele Sbrighi  Luana ;Bib&#236  Produzioni&#13 &#10 Biagio Izzo&#13 &#10 Una commedia di Vincenzo Salemme&#13 &#10 con Francesco Procopio  Mario Porfito  Yuliya Mayarchuk  Samuele Sbrighi  Luana Pantaleo  e con Antonella Cioli&#13 &#10 regia VINCENZO SALEMME&#13 &#10 &#13 &#10 L&#8217 amico del cuore &#232  la classica commedia degli equivoci dove ogni personaggio si veste di un ruolo per nascondere la propria natura pi&#249  profonda. Roberto Cordova ha poche probabilit&#224  di sopravvivenza: deve subire un trapianto cardiaco. Quale occasione migliore quindi per vendicarsi di quell&#8217 amico del cuore  Michelino  che si dice uomo aperto e democratico  quell&#8217 uomo che giudica la gelosia un sentimento barbarico. In nome dell&#8217 amicizia che li lega gli chieder&#224  un ultimo desiderio: passare la notte con la moglie  la bellissima svedese Frida.;Aradeo;75006;LE;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11117
Ginosa - La Passio Christi ;semplice; ; ;http://www.passiochristiginosa.it/;http://www.settimanasantainpuglia.it; ; ;14-mar-16;La rappresentazione sacra prende il via con la sfilata dei figuranti in costume  dislocata tra le diverse strade e piazze  illuminate da fiamme di ;La rappresentazione sacra prende il via con la sfilata dei figuranti in costume  dislocata tra le diverse strade e piazze  illuminate da fiamme di tripodi  nel centro storico. Con l&#8217 ausilio dei narratori e dell&#8217 accompagnamento musicale  viene rievocata la vita di Ges&#249  Cristo  dall&#8217 Annunciazione della sua nascita alla crocifissione. L&#8217 evento &#232  fortemente teatrale  immerso in uno scenario naturale della gravina  un vero e proprio &#8220 teatro a cielo aperto&#8221  attirando ogni anno molti visitatori provenienti da molte parte d&#8217 Italia e d&#8217 Europa. Il naturale palcoscenico della &#8220 Gravina&#8221  di Ginosa  riproduce perfettamente il caratteristico ambiente palestinese  coinvolgendo emotivamente lo spettatore.  &#13 &#10 L&#8217 evento si svolge esattamente il Sabato della Palme  il Sabato Santo  e in estate nel mese di agosto.&#9 ;Ginosa;73007;TA;19-mar-16;26-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11542**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11543
I NUMERI DELL&#8217 ANIMA - il Menone di Platone;semplice;0882-384970; ;http://www.teatropubblicopugliese.it/teatro/teatro-rossi_46.html;http://www.teatropubblicopugliese.it; ;pagamento;26-nov-15;Compagnia del Sole&#13 &#10 Impianto scenico e costumi di Marinella Anaclerio&#13 &#10 con Flavio Albanese  Loris Leoci  Roberto De Chirico&#13 &#10 adattamento e regia di ;Compagnia del Sole&#13 &#10 Impianto scenico e costumi di Marinella Anaclerio&#13 &#10 con Flavio Albanese  Loris Leoci  Roberto De Chirico&#13 &#10 adattamento e regia di FLAVIO ALBANESE&#13 &#10 &#13 &#10 Menone  giovane discepolo del sofista Gorgia  incontra Socrate a casa del suo ospite Anito e lo interroga su un tema alto: La Virt&#249  pu&#242  essere insegnata? Il Non-Sapere socratico trasforma la schermaglia retorica  in una profonda riflessione dialettica. Lungo il loro Discorso  Socrate e Menone incontrano altri due personaggi: Lo Schiavo e Anito. Con il primo Platone dimostra l'immortalit&#224  dell'anima e attraverso Anito  dimostra che la Virt&#249  politica &#232  apparente.;Torremaggiore;71056;FG;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10334
LA LOCANDIERA DI CARLO GOLDONI;semplice; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/tipo_rassegna_5_corato_2323.html; ;pagamento;26-nov-15;di Fabrizio Sinisi  scene di Alvisi &#8211  Kirimoto  costumi di Giuseppe Avallone  luci di Pasquale Doronzo  musiche Papaceccio MMC&#13 &#10 con Gianpiero ;di Fabrizio Sinisi  scene di Alvisi &#8211  Kirimoto  costumi di Giuseppe Avallone  luci di Pasquale Doronzo  musiche Papaceccio MMC&#13 &#10 con Gianpiero Borgia  Elena Cotugno&#13 &#10 regia GIANPIERO BORGIA&#13 &#10 &#13 &#10 Radicalmente riscritta  in una nuova versione di Fabrizio Sinisi diretta da Gianpiero Borgia  La locandiera di Carlo Goldoni riassume qui la sua carica rivoluzionaria. L&#8217 azione si svolge in un albergo miserabile di una citt&#224  nel Sud: in uno scenario di crisi  povert&#224  e ferocia sociale. L&#8217 unica donna in scena si fa centro delle passioni pi&#249  ostinate e profonde: il rapporto complesso e indecifrabile fra corpo e denaro diventa una contraddizione dinamitarda  di sfrenata comicit&#224   il linguaggio vive in un perenne cortocircuito: dal gergo dialettale al lessico poetico e filosofico. La commedia avviene in un esilarante mondo meridionale infero e brutale  tutto contemporaneo: qui sono gli uomini  i maschi  a vedersi spinti in un angolo  a rivendicare con violenza uno spazio oggi perduto e nevroticamente rimpianto.;Corato;72020;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10255
LA DISTRUZIONE DELLA TORRE EIFFEL - Jeton Neziraj ;semplice;0832242000 ;info@teatrokoreja.it;http://www.teatrokoreja.it/koreja/home.php;https://www.facebook.com/cantieriteatralikoreja/?fref=ts; ;pagamento;23-nov-15;In un paesaggio urbano contemporaneo  un europeo viene rapito da due terroristi islamici perch&#233  insiste sulla rimozione dei burka delle donne ;In un paesaggio urbano contemporaneo  un europeo viene rapito da due terroristi islamici perch&#233  insiste sulla rimozione dei burka delle donne musulmane a Parigi. Nel frattempo  come in una favola del passato  in una storia parallela  un sultano ordina ad un soldato ottomano di distribuire burqa alle donne dei Balcani recentemente convertite. La demolizione della Torre Eiffel &#232  un&#8217 alternativa alla fissazione della maggior parte dei media sul burka  il gioco si apre ad un discorso pi&#249  sostanziale: conoscere e capire il dramma dell&#8217 altro. Due destini paralleli per i quali i temi dell&#8217 amore fisico  nudit&#224  e religione musulmana si intrecciano insieme. A tutto questo  si aggiunge un ingrediente umoristico: la costruzione e la successiva caduta di una Torre Eiffel in miniatura fatta di fiammiferi  la rappresentazione simbolica di un attacco terroristico. Fra satira politica e poesia.;Lecce;75035;LE;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10169
Tosca &#8211  IL SUONO DELLA VOCE;semplice;0803101222;info@teatromercadantealtamura.it;http://teatromercadantealtamura.it/2014/; ; ;pagamento;19-ott-15;Confini e sconfini di un viaggio in musica&#13 &#10 Direzione musicale Bubbez Orchestra&#13 &#10 Regia Massimo Venturiello&#13 &#10 Con Giovanna Famulari  Ermanno Dodaro  Matteo di Francesco  Massimo De Lorenzi&#13 &#10 Produzione IMARTS/Officina Teatrale;Dopo lo spettacolo &#8220 Romana&#8221   omaggio a Gabriella Ferri e &#8220 &#8216 Sto core mio&#8221   dedicato a Roberto Murolo  Tosca &#232  alle prese con questo nuovo ambizioso progetto che &#8216 parte&#8217  insieme al suo nuovo album. &#8220 Il suono della voce&#8221   canzone che ha scritto per lei Ivano Fossati e che d&#224  il titolo a questo suo nuovo lavoro  &#232  soprattutto un viaggio nella musica del mondo raccontato attraverso canzoni edite  inedite  adattate  in lingua originale o stralciate. Un progetto che parte da alcuni inediti italiani scritti per Tosca da grandi autori  passando per alcune perle della tradizione Yiddish  Giapponese  Libanese  Portoghese  fino ad un esperimento nel creare un filo fra la nostra lingua e il francese ( Mars  adattamento di marzo di Di Giacomo)  Diesis mein herz  (adattamento in tedesco della meravigliosa &#8220 Sto core mio&#8221  di Orlando di Lasso) e &#8220 Nina si voi dormite&#8221  della tradizione romana adattata in portoghese. Un nuovo racconto nel &#8216 Teatro Canzone&#8217  che frequenta da diversi anni  dove grazie ad alcuni elementi scenici  all&#8217 uso di proiezioni e all&#8217 utilizzo di un mirato disegno luci  lo spettatore verr&#224  coinvolto in un percorso visionario tra le molteplici etnie  in un tourbillon di canzoni  parole  immagini e luci che non si propone di raggiungere una meta precisa  quanto di inseguire il piacere del viaggio  della conoscenza.;Altamura;72004;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9622
LA SCUOLA;semplice; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-giordano_348.html; ;pagamento;29-ott-15;Cardellino srl&#13 &#10 Silvio Orlando&#13 &#10 di Domenico Starnone  scene Giancarlo Basili  disegnatore Luci Pasquale Mari  costumi Maria Rita Barbera  assistente ;Cardellino srl&#13 &#10 Silvio Orlando&#13 &#10 di Domenico Starnone  scene Giancarlo Basili  disegnatore Luci Pasquale Mari  costumi Maria Rita Barbera  assistente alla regia Riccardo Sinibaldi&#13 &#10 con Vittorio Ciorcalo  Roberto Citran  Marina Massironi  Roberto Nobile  Silvio Orlando  Antonio Petrocelli  Maria Laura Rondanini&#13 &#10 regia DANIELE LUCHETTI&#13 &#10 &#13 &#10 Era il 1992 quando and&#242  in scena per la prima volta Sottobanco  pi&#232 ce teatrale tratta dagli scritti di Domenico Starnone. Lo spettacolo  interpretato da un gruppo di attori eccezionali capitanati da Silvio Orlando e diretti da Daniele Luchetti  divenne presto un cult. Tanto che nel 1995 lo stesso Luchetti ne trasse il film La scuola. A distanza di vent&#8217 anni  Orlando riporta in scena quello che &#232  stato lo spettacolo pi&#249  importante della sua carriera. Il testo &#232  tratto dalla produzione letteraria di Domenico Starnone. Siamo in tempo di scrutini in IV D. Un gruppo di insegnanti deve decidere il futuro dei loro studenti. Di tanto in tanto  in questo ambiente circoscritto  filtra la realt&#224 &#13 &#10 esterna. Dal confronto tra speranze  ambizioni  conflitti sociali e personali  amori  amicizie e scontri generazionali  prendono vita personaggi esilaranti  giudici impassibili e compassionevoli al tempo stesso. Il dialogo brillante e le situazioni paradossali lo rendono uno spettacolo irresistibilmente comico.&#13 &#10 &#13 &#10 Nota bene: A vent&#8217 anni di distanza dalla prima rappresentazione &#232  davvero interessante fare un bilancio sulla scuola e vedere cosa &#232  successo.;Foggia;71024;FG;19-mar-16;20-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9646
IL SINDACO PESCATORE;semplice; ; ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/spettacolo/il-sindaco-pescatore_2412.html;http://www.comune.bitonto.ba.it/;pagamento;09-nov-15;tratto dall&#8217 omonimo libro di Dario Vassallo  testi di EDOARDO ERBA&#13 &#10 regia ENRICO MARIA LAMANNA;tratto dall&#8217 omonimo libro di Dario Vassallo  testi di EDOARDO ERBA&#13 &#10 regia ENRICO MARIA LAMANNA&#13 &#10 &#13 &#10 Raccontiamo e soprattutto ricordiamo la storia di un eroe normale  Angelo Vassallo  il Sindaco Pescatore. Un uomo normale e straordinario in una regione malata e straordinaria come la Campania. Un uomo che ha sacrificato con la sua vita l'impegno di amministrare difendere e migliorare la sua terra e le sue persone. La sua opera di uomo semplice onesto e lungimirante attraverso l'inizio della sua carriera politica  i successi straordinari ottenuti sul campo del Cilento nell'ottica del Bene Comune  compresa l'operazione Dieta Mediterranea assunta grazie a lui a Patrimonio dell'Unesco  fino al suo tragico epilogo.;Bitonto;72011;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10012
&#8220 Tre padri&#8221  in una conversazione per la festa del pap&#224 ;semplice;0805412427;pincorradogiaquinto@tiscali.it;http://www.pinacotecabari.it; ; ;gratis;14-mar-16;Sabato 19 marzo festa del pap&#224  tutti in Pinacoteca;In occasione della festa del pap&#224  Giacomo Lanzilotta  Ispettore della Pinacoteca  terr&#224  una conversazione sul tema &#13 &#10 Abramo  Zaccaria e Giuseppe: tre idee di paternit&#224  in alcuni  dipinti della Pinacoteca.&#13 &#10 Mai come in questi giorni i temi della paternit&#224   della famiglia  dei rapporti anche giuridici tra genitori e figli sono oggetto di vivaci discussioni e di grande interesse per l&#8217 opinione pubblica. &#13 &#10 Prendendo spunto da alcune opere del Sei e Settecento presenti in Pinacoteca  la conversazione affronter&#224  tre particolarissime figure di padri che nel corso dei secoli hanno ispirato numerosi capolavori della storia dell&#8217 arte  fino alle pi&#249  recenti interpretazioni nella cinematografia internazionale: da Abramo messo alla prova del sacrificio di Isacco  all&#8217 incredulo Zaccaria padre del Battista  fino a Giuseppe  padre &#8220 putativo&#8221   davanti al mistero dell&#8217 Incarnazione.&#13 &#10 &#13 &#10 &#13 &#10 ;Bari;72006;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11628
L'ultimo canto - le 7 cornici ;semplice;+393283178657;infotou.play@gmai.com;https://www.facebook.com/events/813277128816023/; ; ; ;15-mar-16;Il  Purgatorio di Dante prende vita al Teatro Margherita di Bari in uno spettacolo collettivo ispirato ai sette peccati capitali tra danza  teatro  musica  arte pittorica live performer e poesia.;L&#8217 evento organizzato dalle associazioni culturali Tou.Play e PugliArte con il patrocinio del comune di Bari rende omaggio al sommo poeta nella cornice del teatro Margherita prima che il suo sipario cali per i lavori di ristrutturazione. &#13 &#10 &#8220 L&#8217 ultimo canto-le 7 cornici&#8221  propone ai suoi partecipanti un&#8217 esperienza culturale interattiva alla scoperta dei sette peccati capitali del purgatorio Dantesco. Viene  presentato uno spettacolo collettivo tra  danza  teatro  musica  arte pittorica live performer e poesia.&#13 &#10 La serata  inoltre richiama la storia del Teatro Margherita  in particolare del periodo del 1914 quando l&#8217 allora Kursaal Margherita offriva al pubblico barese i migliori numeri del Caf&#232 -chantant e diverse spettacolari attrazioni. Dopo l&#8217 incendio della precedente struttura in  legno la Societ&#224  Anonima Pubblici Divertimenti Orfeo di Bari aveva fatto risorgere il teatro dalle sue ceneri per farlo diventare la culla sul mare della cultura e dell'intrattenimento cittadino.&#13 &#10 Con la partecipazione di: &#13 &#10 Compagnia teatrale Radiance&#13 &#10 A tea with Alice&#13 &#10 Baduclan Dance Company &#13 &#10 NotEventi &#13 &#10 Alessandra Melarosa&#13 &#10 Anna Di Maggio &#13 &#10 Marco Marinelli;Bari;72006;BA;19-mar-16;19-mar-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11696 (teatro margherita II) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11695 (teatro margherita I) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11694 (l'ultimo canto- le 7 cornici ) 
